location,date,total_cases,new_cases,total_deaths,new_deaths
Indonesia,2019-12-31,0,0,0,0
Indonesia,2020-01-01,0,0,0,0
Indonesia,2020-01-02,0,0,0,0
Indonesia,2020-01-03,0,0,0,0
Indonesia,2020-01-04,0,0,0,0
Indonesia,2020-01-05,0,0,0,0
Indonesia,2020-01-06,0,0,0,0
Indonesia,2020-01-07,0,0,0,0
Indonesia,2020-01-08,0,0,0,0
Indonesia,2020-01-09,0,0,0,0
Indonesia,2020-01-10,0,0,0,0
Indonesia,2020-01-11,0,0,0,0
Indonesia,2020-01-12,0,0,0,0
Indonesia,2020-01-13,0,0,0,0
Indonesia,2020-01-14,0,0,0,0
Indonesia,2020-01-15,0,0,0,0
Indonesia,2020-01-16,0,0,0,0
Indonesia,2020-01-17,0,0,0,0
Indonesia,2020-01-18,0,0,0,0
Indonesia,2020-01-19,0,0,0,0
Indonesia,2020-01-20,0,0,0,0
Indonesia,2020-01-21,0,0,0,0
Indonesia,2020-01-22,0,0,0,0
Indonesia,2020-01-23,0,0,0,0
Indonesia,2020-01-24,0,0,0,0
Indonesia,2020-01-25,0,0,0,0
Indonesia,2020-01-26,0,0,0,0
Indonesia,2020-01-27,0,0,0,0
Indonesia,2020-01-28,0,0,0,0
Indonesia,2020-01-29,0,0,0,0
Indonesia,2020-01-30,0,0,0,0
Indonesia,2020-01-31,0,0,0,0
Indonesia,2020-02-01,0,0,0,0
Indonesia,2020-02-02,0,0,0,0
Indonesia,2020-02-03,0,0,0,0
Indonesia,2020-02-04,0,0,0,0
Indonesia,2020-02-05,0,0,0,0
Indonesia,2020-02-06,0,0,0,0
Indonesia,2020-02-07,0,0,0,0
Indonesia,2020-02-08,0,0,0,0
Indonesia,2020-02-09,0,0,0,0
Indonesia,2020-02-10,0,0,0,0
Indonesia,2020-02-11,0,0,0,0
Indonesia,2020-02-12,0,0,0,0
Indonesia,2020-02-13,0,0,0,0
Indonesia,2020-02-14,0,0,0,0
Indonesia,2020-02-15,0,0,0,0
Indonesia,2020-02-16,0,0,0,0
Indonesia,2020-02-17,0,0,0,0
Indonesia,2020-02-18,0,0,0,0
Indonesia,2020-02-19,0,0,0,0
Indonesia,2020-02-20,0,0,0,0
Indonesia,2020-02-21,0,0,0,0
Indonesia,2020-02-22,0,0,0,0
Indonesia,2020-02-23,0,0,0,0
Indonesia,2020-02-24,0,0,0,0
Indonesia,2020-02-25,0,0,0,0
Indonesia,2020-02-26,0,0,0,0
Indonesia,2020-02-27,0,0,0,0
Indonesia,2020-02-28,0,0,0,0
Indonesia,2020-02-29,0,0,0,0
Indonesia,2020-03-01,0,0,0,0
Indonesia,2020-03-02,2,2,0,0
Indonesia,2020-03-07,4,2,0,0
Indonesia,2020-03-09,6,2,0,0
Indonesia,2020-03-11,19,13,0,0
Indonesia,2020-03-12,34,15,1,1
Indonesia,2020-03-14,69,35,4,3
Indonesia,2020-03-15,96,27,4,0
Indonesia,2020-03-16,117,21,5,1
Indonesia,2020-03-17,134,17,5,0
Indonesia,2020-03-18,172,38,5,0
Indonesia,2020-03-19,172,0,5,0
Indonesia,2020-03-20,227,55,19,14
Indonesia,2020-03-21,309,82,25,6
Indonesia,2020-03-22,450,141,38,13
Indonesia,2020-03-23,514,64,48,10
Indonesia,2020-03-24,579,65,49,1
Indonesia,2020-03-25,686,107,55,6
Indonesia,2020-03-26,790,104,58,3
Indonesia,2020-03-27,893,103,78,20
Indonesia,2020-03-28,1046,153,87,9
Indonesia,2020-03-29,1155,109,102,15
Indonesia,2020-03-30,1285,130,114,12
Indonesia,2020-03-31,1414,129,122,8
Indonesia,2020-04-01,1528,114,136,14
Indonesia,2020-04-02,1677,149,157,21
Indonesia,2020-04-03,1790,113,170,13
Indonesia,2020-04-04,1986,196,181,11
Indonesia,2020-04-05,2092,106,191,10
Indonesia,2020-04-06,2273,181,198,7
Indonesia,2020-04-07,2491,218,209,11
Indonesia,2020-04-08,2738,247,221,12
Indonesia,2020-04-09,2956,218,240,19
Indonesia,2020-04-10,3293,337,280,40
Indonesia,2020-04-11,3512,219,306,26
Indonesia,2020-04-12,3842,330,327,21
Indonesia,2020-04-13,4241,399,373,46
Indonesia,2020-04-14,4557,316,399,26
Indonesia,2020-04-15,4839,282,459,60
Indonesia,2020-04-16,5136,297,469,10
Indonesia,2020-04-17,5516,380,496,27
Indonesia,2020-04-18,5923,407,520,24
Indonesia,2020-04-19,6248,325,535,15
Indonesia,2020-04-20,6575,327,582,47
Indonesia,2020-04-21,6760,185,590,8
Indonesia,2020-04-22,7135,375,616,26
Indonesia,2020-04-23,7418,283,635,19
Indonesia,2020-04-24,7775,357,647,12
Indonesia,2020-04-25,8211,436,689,42
Indonesia,2020-04-26,8607,396,720,31
Indonesia,2020-04-27,8882,275,743,23
Indonesia,2020-04-28,9096,214,765,22
Indonesia,2020-04-29,9511,415,773,8
Indonesia,2020-04-30,9771,260,784,11
Indonesia,2020-05-01,10118,347,792,8
Indonesia,2020-05-02,10551,433,800,8
Indonesia,2020-05-03,10843,292,831,31
Indonesia,2020-05-04,11192,349,845,14
Indonesia,2020-05-05,11587,395,864,19
Indonesia,2020-05-06,12071,484,872,8
Indonesia,2020-05-07,12438,367,895,23
Indonesia,2020-05-08,12776,338,930,35
Indonesia,2020-05-09,13112,336,943,13
Indonesia,2020-05-10,13645,533,959,16
Indonesia,2020-05-11,14032,387,973,14
Indonesia,2020-05-12,14265,233,991,18
Indonesia,2020-05-13,14749,484,1007,16
Indonesia,2020-05-14,15438,689,1028,21
Indonesia,2020-05-15,16006,568,1043,15
Indonesia,2020-05-16,16496,490,1076,33
Indonesia,2020-05-17,17025,529,1089,13
Indonesia,2020-05-18,17514,489,1148,59
Indonesia,2020-05-19,18010,496,1191,43
Indonesia,2020-05-20,18496,486,1221,30
Indonesia,2020-05-21,19189,693,1242,21
Indonesia,2020-05-22,20162,973,1278,36
Indonesia,2020-05-23,20796,634,1326,48
Indonesia,2020-05-24,21745,949,1351,25
Indonesia,2020-05-25,22271,526,1372,21
Indonesia,2020-05-26,22750,479,1391,19
Indonesia,2020-05-27,23165,415,1418,27
Indonesia,2020-05-28,23851,686,1473,55
Indonesia,2020-05-29,24538,687,1496,23
Indonesia,2020-05-30,25216,678,1520,24
Indonesia,2020-05-31,25773,557,1573,53
Indonesia,2020-06-01,26473,700,1613,40
Indonesia,2020-06-02,26940,467,1641,28
Indonesia,2020-06-03,27549,609,1663,22
Indonesia,2020-06-04,28233,684,1698,35
Indonesia,2020-06-05,28818,585,1721,23
Indonesia,2020-06-06,29521,703,1770,49
Indonesia,2020-06-07,30514,993,1801,31
